Latitude,Longitude,KY_CD
40.70034223,-73.91669195,578
40.89371668,-73.89644056,351
40.84383249,-73.91036803,105
40.88780568,-73.84171184,344
40.83302909,-73.86272193,235
40.81725593,-73.89778789,344
40.57697314,-74.16973618,341
40.70878704,-73.74451876,578
40.63158588,-74.02327524,110
40.85952488,-73.92726557,117
40.81411506,-73.91718536,236
40.83277419,-73.94582562,341
40.72905196,-74.00994877,347
40.79558155,-73.93229782,341
40.71277866,-73.96426908,341
40.77019906,-73.92477096,107
40.73598198,-73.95408455,107
40.85403074,-73.92847531,344
40.6796899,-73.86646267,344
40.8306413,-73.87487919,117
40.6344919,-74.11815179,236
40.87138817,-73.91247503,341
40.64892933,-73.96297711,344
40.69137629,-73.98152077,109
40.72472228,-73.94053062,578
40.74675458,-73.98158841,112
40.66903358,-73.93527404,578
40.65164446,-73.91305161,578
40.82653859,-73.94666175,351
40.82807857,-73.81782842,351
40.66344769,-73.95847427,341
40.76565235,-73.93128856,344
40.65413985,-73.92530548,351
40.83653816,-73.92332992,578
40.57555424,-73.98014171,343
40.7393888,-73.99116042,341
40.86345833,-73.90174073,235
40.70568722,-73.9260917,232
40.85123154,-73.89049915,235
40.78998994,-73.94688243,235
40.57778924,-73.98499365,344
40.84864772,-73.91168084,121
40.85342659,-73.92796628,361
40.62290428,-74.02238966,117
40.88851004,-73.83129773,344
40.63816116,-74.0139635,344
40.69288529,-73.78855224,105
40.68624248,-73.82417616,344
40.7401603,-73.99480503,109
40.89231507,-73.83962501,361
40.71847377,-73.9913616,341
40.6880155,-73.90946689,106
40.69281901,-73.93886062,344
40.76223477,-73.96818808,578
40.63424524,-73.94391511,344
40.82759079,-73.89582803,106
40.63816116,-74.0139635,348
40.83540774,-73.94881569,578
40.89457656,-73.84763486,341
40.66592604,-73.9254653,235
40.75559561,-73.73810566,109
40.5797802,-73.99842466,112
40.74981062,-73.79093767,578
40.86185539,-73.89245919,341
40.72089168,-73.98881794,117
40.70038667,-73.81393251,351
40.6722697,-73.77295402,117
40.62076483,-74.02811639,341
40.67835065,-73.96306533,351
40.83338471,-73.85945081,351
40.67649686,-73.8213213,351
40.8621886,-73.89071248,341
40.73565652,-73.85358043,126
40.76687998,-73.96270216,341
40.84383164,-73.91655563,235
40.57427037,-74.11052555,109
40.75012867,-73.98753178,341
40.69424612,-73.97516595,359
40.65739171,-73.90566642,578
40.60617807,-74.07778415,347
40.63862735,-74.01706229,107
40.83757727,-73.94546754,106
40.70811283,-73.96513362,344
40.88708919,-73.86778567,110
40.89211868,-73.84051162,341
40.68336304,-73.97486713,121
40.82652111,-73.85797663,353
40.8171057,-73.90507153,235
40.74978011,-73.98778087,343
40.84624779,-73.84755038,351
40.80550435,-73.91647725,341
40.6805869,-73.83823053,107
40.63985369,-73.96748254,351
40.6090503,-74.01017939,126
40.83000215,-73.86545276,341
40.74642525,-73.98183391,109
40.69910627,-73.91556829,232
40.61521458,-74.08464905,125
40.58432799,-74.08746486,361
40.64555467,-73.95909079,578
40.82494111,-73.95281997,578
40.76110162,-73.98326299,578
40.62465712,-73.95513738,351
40.83170139,-73.86104435,109
